fund,matched_fund,fund_confidence,cik_no_fund,form_d_fund_id,crd_no_fund,form_adv_fund_id
Brevitest Technologies,Janvest Technologies,0.6892767994096703,1837547,98251,307760,
Second Curve Vision Fund,Second Curve Vision Fund,0.0,1411840,31008,161774,
Aqua Heart,Aqua,0.7219139292032081,1878844,122872,106759,11277.0
Egcp Investment Partners V A,Egcp Investment Partners V A,1.0536712127723509e-08,1689115,94614,159926,
Elevai Labs,Level Labs,0.8547593651689728,1840563,127271,290420,
Ravenswood Investment,Ravenswood Investments Iii,0.33876775654823155,1527269,33352,128093,11167.0
Capital Rx,Astral Capital Rxtp,0.7756155712455027,1782959,53515,283421,
Red Door Authvia,Red Door Authvia,0.0,1816345,90982,311082,
D Bytes,Npc Bytedance,0.9202600905968457,1830909,94501,173787,
Sentinel Technology Fund,Core Technology Fund,0.5846827671289525,1263073,57862,133711,12575.0
Avgsf Freewire ,Avgsf Freewire ,0.0,1845116,105592,170562,
Mvp Ls Fund Cclxvi,Mvp Ls Fund Cclxvii,0.16945361123296587,1851110,106600,163660,
Crown Electrokinetics,,1.0,1761696,90744,167212,3656.0
Ei Fund I A Series Of Riverside Ventures,Fund I A Series Of Riverside Ventures,0.413299706855509,1853747,108293,311287,
Fionnachtain,,1.0,1829592,93642,167212,3656.0
Chinaamc China Growth Fund,Chinaamc China Growth Fund,0.0,1608040,35653,166615,142194.0
Air Technologies Group Qp,Air Technologies Group Qp,0.0,1834619,96210,311053,
Gameclub A Series Of Breakawaygrowth,Breakaway Oath Series B,0.9147040497818898,1818259,86610,284166,
Escondido North,Escondido Civ,0.7738702606891444,1847350,106481,281465,
Vellar Special Opportunities Fund Series ,Vellar Special Opportunities Fund Series ,0.0,1899968,136575,133171,120624.0
Dig Up Project,Cr Project,0.7801097574213828,1860088,110773,108676,6137.0
Paragon Mobile,Paragon Master Fund,0.9371642051337249,1649556,90397,147206,3397.0
National Telcom,National Cc,0.9532174302772348,706795,98615,309698,
Gullane Technology Partners Iii,Gullane Technology Partners Ii,0.16105390274367273,1839859,99772,313464,
Bear Creek Transitional Housing Investors,Bear Creek Longhorn Housing Bent Tree,0.7809217488869992,1871191,124201,137677,
Nipun Asia Total Return Offshore Fund,Nipun Asia Total Return Master Fund,0.5864809682368929,1552235,33978,159752,142774.0
Carbon Royalty,Caritas Royalty Fund,0.7427556788135877,1918152,150892,138258,142169.0
Ccp Sierra Redwood Fund,Ccp Sierra Redwood Fund,0.0,1898885,136066,129346,6591.0
Tca La Fund Ii A Series Of Tca La,,1.0,1831088,100972,167212,3656.0
Broad Oak Group International,International Group Trust,0.8225015162297187,1826395,91238,107951,2348.0
Private Investment Strategic Opportunities Ii Feeder,Private Investment Opportunities Ii,0.6710630379203903,1837159,98535,122258,3238.0
Halogen Spv Metropolis,Halogen Spv Metropolis,0.0,1931071,159399,304031,
Twin Lakes Surgical Services,Twin Lakes Apv,0.9184571141177195,1839322,99298,168618,
Rev Fund I A Series Of Tbird Capital,Se Fund I A Series Of Sapien Capital,0.897703924782826,1827794,92096,297291,
Fairmount Healthcare Feeder Fund Ii,Fairmount Healthcare Fund Ii,0.4467523372552905,1769648,46366,284844,75092.0
Level Iii Opportunistic Fund,Level Iii Opportunistic Fund,0.0,1871166,117743,315900,
Aviator Capital Fund V Global Feeder,Avi Global Fund,0.8242935840914385,1848524,105503,137779,141913.0
Zero Mass Water,Zero Mass Water Investors,0.5136447349332866,1644099,155998,283349,
No Fund Iii,No Fund Iii,0.0,1860900,111052,292571,
Spotlight Capital Holdings,Vestar Spotless Holdings,0.8455682601293307,1077319,119923,155953,4646.0
Value Multiplier Us Feeder Fund,Value Multiplier Fund,0.5890951731924499,1784887,54804,172785,10834.0
Voltaiq  Sidecar A Series Of Assure Labs ,Voltaiq A Series Of Assure Labs ,0.4529283544930292,1849067,107605,310071,
Fove, Cove,0.9005945949874669,1668317,119098,315268,
Blackbird Vineyards,Blackbird Financial,0.7985341584182845,1621909,126589,310343,
Liquidspace,Robertson Stephens Liquidspace,0.838955833874503,1508315,94581,289977,20904.0
Leaa Us,,0.9999999999999999,1875062,122722,167212,3656.0
Spacestation  A Series Of Spacestation Investments ,Spacefund Iii A Series Of Space Fund,0.8762549649216705,1950656,172183,306829,
No Fund I A Series Of Roll Up Vehicles,Vehicle A,0.9739572498484877,1925137,155403,314399,
Marlin Strategic Opportunities I,Carl Marks Strategic Opportunities Fund,0.6008358826586526,1943109,171029,107695,
Blackstone Growth Learn Invest,Blackstone Growth,0.6189910655916628,1873120,120059,305708,
Digital Ld Asset Sales Holdings,Digital Asset Fund,0.8788447913668327,1876551,122581,321952,
Pdc Opportunities Viii,Pdc Opportunities Viii,0.0,1825329,90589,283834,
Damen Capital Fund , Capital Fund I,0.8149935859833226,1816351,85338,282854,
Extrahourz,,0.9999999999999999,1828591,92700,167212,3656.0
Bay Point Capital Partners Ii,Bay Point Capital Partners Ii,1.0536712127723509e-08,1746387,55860,286050,142069.0
Ut Rumba A Series Of Assure Labs ,Apty Series A A Series Of Assure Labs ,0.8116080925657294,1854671,116245,307354,
Atalo Capital Offshore Fund, Capital Fund Offshore I,0.5625403443948124,1780376,52132,305398,
Ti Fund I A Series Of Brendan Hill Spv,Ti Fund I A Series Of Win Spv,0.799151835716277,1827350,91816,311579,
Mackenzie International Quantitative Large Cap Master Fund Cayman,Mackenzie International Quantitative Large Cap Master Fund Cayman,1.0536712127723509e-08,1776405,50047,165899,
Maplelane Domestic Fund,Maplelane  Fund,0.8224584496422996,1656014,62460,310531,
Joule Case,Joule Ventures C,0.783354171079224,1793900,65186,307760,
Heisenberg Matrix Development,Ltr Development,0.943683150463065,1837655,98402,296827,
Re Gaingels Fund I A Series Of Zachary Ginsburg Funds,Re Gaingels Fund I A Series Of Zachary Ginsburg Funds,0.0,1893678,132523,298061,
Edible Garden Ag,Ag Garden Partners,0.9165178207428539,1809750,128769,131940,168.0
Title Center Of The South,The Tiff Centerstone Fund,0.8997645719684916,1370883,91705,34939,2408.0
Aic Enhanced Loan Offshore Fund,Aic Enhanced Loan Fund,0.5379577070505125,1778227,51004,167163,
Inccubator,Cip Incubator,0.7344052548084387,1853952,108174,170335,4957.0
Firethorn Capital Value Fund,Firethorn Capital Value Fund,0.0,1433347,31349,163773,
Flor Americas,Flor Ii,0.9094525760966808,1835613,97493,163116,
Corvus Delta Fund,Corvus Delta Master Fund,0.4383682074622665,1731853,126145,158143,6495.0
Performance Regent  Overage Fund,The Overlook Performance Fund,0.8578897880747341,1868714,116966,130819,32897.0
Winston Gold, Gol,0.9104082868938398,1680962,38424,160068,
Mainline West Tax Advantaged Opportunity Fund Vi,Mainline West Tax Advantaged Opportunity Fund Vi,0.0,1834723,96312,147532,
Aleta Biotherapeutics,Alethea Biotech Fund,0.8727639205114471,1873000,119365,156500,5462.0
Larson Texts,Dexter Winston Te Fund,0.9762631492216074,1781332,52657,111450,
Candlestick,Candlestick Master Fund,0.6380796733081615,1899132,136080,305218,75751.0
Mvp Ls Fund Ccxi,Mvp Ls Fund Ccxi,0.0,1835764,96994,163660,
Sinnet Capital,Sinnet Capital,1.0536712127723509e-08,1866139,118386,315385,
Guidepost Growth Equity Iii A,Guidepost Growth Equity Iii A,0.0,1794178,67331,161579,
Blue Mountain Best,Mountain Blue Holdings Be,0.6567661385883289,1858511,112428,284667,
Level At  Nr,,1.0,1876498,121426,167212,3656.0
Audiotool,,1.0,1950910,172089,167212,3656.0
Midwood Investors Ii,Redwood Investor,0.6123023650500795,1924974,156226,171524,
Ia Technologies,Iangels Technologies Medorion Technologies Series A Round Series,0.6603187526120077,1854829,108833,170932,147096.0
Lido Uncapped First Quarterly Fund,Lido Uncapped Fund,0.7700216937214522,1903577,156848,269866,9146.0
Quip Nyc,Kkr Nyc Strategic Partnership Nycrs F,0.843880566101637,1715794,124180,144533,3089.0
Spring Rock Security Holdings,Black Rock Holdings,0.8356954789676382,1839214,99865,167266,
Reserves At Redbank,Rest At,0.9439364796491437,1830311,94495,137432,97.0
Millburn Multi Markets Fund,Ncs Millburn Fund,0.8619951587839144,1468910,32128,112161,10685.0
Gulf Of Maine Sashimi,Gulf Stream Meridian Sailfish,0.9103012769213216,1829733,93473,300673,
Treovir,Treo Ventures I,0.9983555651596894,1825493,91151,299417,
Re Fund I A Series Of Ault Krug Ventures, Fund I A Series Of Ault Krug Ventures,0.19572637776182786,1846260,104547,167700,
Neuberger Berman Emerging Market Debt Local Currency Fund,Neuberger Berman Emerging Market Debt Local Currency Fund,0.0,1800046,71943,162267,
Ag Commercial Real Estate Debt Opportunities Fund,Ag Commercial Real Estate Debt Opportunities Fund,0.0,1658399,54019,131940,168.0
Baselode Energy,Baseline Encore,0.9174337581826957,1899299,136103,294309,
A Exchange,Th St Exchange,0.6034415299395409,1871632,118071,284410,
Angell Capital Partners I, Capital Partners,0.6854719196451092,1819316,87167,156181,4036.0
Andalusian Partners Andalusian Direct Partners I,Pca Andalusian Partners,0.6679185130598236,1898896,135894,157784,
Madhat Media,,1.0,1685774,60274,167212,3656.0
Lancium Technologies,Janvest Technologies,0.7826950846989517,1886863,127820,307760,
Mindzie,,1.0,1838167,98746,167212,3656.0
Graybul Lullwater Phase Ii,,1.0000000000000002,1872401,119035,167212,3656.0
Galway Sustainable Credit,Sustainable Investors Fund,0.9312313601880984,1846337,104553,147417,146712.0
Groove Capital Fund I,Groove Capital Fund I,0.0,1833276,96050,313699,
Flick,Fl,0.8057749383686013,1740025,90403,294197,11352.0
Mountaineer Offshore Fund,Mountaineer Offshore Fund,0.0,1599261,72877,163089,17250.0
Accolade Partners Viii E,Accolade Partners Viii E,0.0,1868404,116863,160802,
Metlife Enhanced Core Property Fund,Metlife Core Bond Enhanced Index Portfolio,0.7725755694523497,1872528,119186,107105,246.0
Consilium Capital Fund,Consilium Capital Fund,1.0536712127723509e-08,1573489,34562,110522,10443.0
Make A Difference Ventures Iv Limited Partnership,Coastal Ventures Iv Limited Partnership,0.8160007473605937,1870897,127397,316300,
Full Measure Education,Aim Education,0.8697937529482713,1869307,121480,156157,
Smartcap Opportunity Zone Fund ,Sortis Opportunity Zone Fund I,0.7293100266204908,1829786,93652,315584,
Ancora Catalyst Spv I Series M,Ancora Catalyst Spv I Series M,0.0,1837013,97645,124674,3131.0
Brightview Partners,Crestview Partners,0.7335209445831312,1615025,61705,157488,87615.0
Incarda Therapeutics,Gmag Therapeutics Fund,0.8323556416196702,1552622,64502,313456,
Clay Point Investors  Opportunity Fund,Opportunity Investor P,0.7708209668769473,1838089,127828,148269,
Valiant Capital Partners,Valiant Capital Partners,0.0,1435407,70719,158071,3452.0
Whi Nfp Fund,Whi Nfp Fund,0.0,1475724,71046,108353,2289.0
Wpraxis Fund Usa,Wpraxis Fund Usa,1.0536712127723509e-08,1565055,34305,312909,
Bond Veterinary,Borealis Fund V Veterinary Innovation,0.8529503551073805,1763563,69282,162209,
Psg Credit Opportunities Lllp,Psg Credit Ll Opportunities,0.3503256350726136,1852223,107278,311297,
Ethena,Ethereal Ventures Fund I,0.8535054861842339,1836631,97746,322432,
Tombill Exploration,Ach Exploration,0.8333098619195094,1836834,97608,281875,
Kre Juniper Manager,Lone Juniper,0.8824404623694346,1843737,103146,156602,2629.0
Cre Venture Capital Fund Iii,Ii Venture Capital Fund I,0.5031837617066308,1933096,164839,321152,
Smart Markets Fund Slp,Smart Markets Fund,0.563280407119911,1919864,156192,156093,
Lifesprout,Life,0.8589695130673733,1733815,81209,168591,
Cmap Tt Tcyd Fund,Cmap Tt Tcyd Fund Limited,0.4393156212488307,1760004,67178,121552,11458.0
Adow Capital Partners,Adw Capital Partners,0.6898652810316492,1762741,70917,175486,20553.0
Ri Fund Ii A Series Of Stonebridge Alpha ,Ri Fund I A Series Of Stonebridge Alpha ,0.2634957346152616,1873144,119405,289443,
Tuesday Syndicate A Series Of Assure Labs ,Assure Syndicates  A Series Of Assure Syndicates Master,0.7564995523082029,1868458,119470,317795,
Augury,Augusta,0.6116279854546244,1651145,93527,361,7869.0
Orei Long Term Equity Fund,Orei Long Term Equity Fund,0.0,1754715,43457,284241,
Cx Eos Orlando Dst,,0.9999999999999999,1882232,127850,167212,3656.0
Trulocal,,0.9999999999999999,1824521,90790,167212,3656.0
Goldcrest Capital Bird B Spv,Goldcrest Capital Bird B Spv,2.1073424255447017e-08,1732368,119443,281506,
Gs Oculogica,Gsv Oc,0.9988396729643422,1916447,151367,285043,
Fo Fund I A Series Of Rt Health Capital,He Fund I A Series Of Sapien Capital,0.8494128605531537,1951555,172435,297291,
Waterwheel Hellenic Opportunities Fund,Waterwheel Hellenic Opportunities Master Fund,0.3046324073675395,1630370,60391,289407,
Mod Tech Labs,Ca Tech Fund I,0.97818268904392,1829335,93048,318250,
Appbrilliance,Gef Apbr,0.9119885250525953,1797864,71183,157772,3806.0
Parkview Huber Heights,New Heights Fund,0.8595980228960607,1791823,63396,110590,812.0
Ky Fund I A Series Of Contrary Capital Al,Ky Fund I A Series Of Moving Capital,0.7665201729180726,1834711,96310,322083,
Hiddenlayer,Hidden Hills Partners,0.9842138449471713,1931200,159243,170227,
Stcm Venture Equity Fund I,Stcm Venture Equity Fund I,0.0,1851683,107926,311846,
Nasuni,,1.0,1507987,86416,167212,3656.0
Sa Fund I A Series Of Angellist Funds, Fund I A Series Of Angellist Funds,0.3198673196642333,1881318,124476,167700,
Apex Neuro Holdings,Apen Holdings,0.8148582269834201,1783115,64565,134009,
 Union, Uni,0.4820201729927078,1837447,97945,160068,
Cpi Carlyle Property Private Investors,Carlyle Property Investors,0.5754585517318871,1744914,42795,111128,3811.0
Equityzen Growth Technology Fund Series ,Equityzen Growth Technology Fund Series ,0.0,1875801,141225,289299,
Sunrise Capital Iv,Sunrise Capital Iv,1.4901161193847656e-08,1821617,90429,161379,
Rise Robson,The Rise Fund,0.9988490084939367,1843001,101451,175214,
North Fourth Offshore Fund,North Fourth Fund,0.5724882544395616,1754614,60103,289736,12525.0
Greenhouse Onshore Fund,Greenhouse Master Fund,0.73272763465979,1591089,35086,169840,6130.0
Realconnex Holdings,Calco Holdings,0.7487029218172668,1911046,148666,134320,
 Long Creek Avenue,Steele Creek Loan Fund I,0.9684370748302937,1836838,97610,170209,
Apollo Athene Dedicated Investment Program A,Apollo Athene Dedicated Investment Program A,1.4901161193847656e-08,1772718,48017,143161,8280.0
Synkro Management, Management,0.8420255011287585,1924930,155221,309414,
Globeflex Emerging Markets Small Cap,Globeflex Emerging Markets Small Cap,2.1073424255447017e-08,925056,73303,106417,2112.0
Westbeck Energy Opportunity Fund Us, Energy Opportunity Fund,0.7651037888136334,1851738,107788,152303,
Onex Senior Credit Ii,Onex Senior Credit Ii,0.0,1466602,32069,138941,142792.0
Nut Tree Onshore Fund,Nut Tree Master Fund,0.7910804311870007,1666723,37676,282219,20835.0
Ro Fund Iii A Series Of Night Capital,Fund Ii A Series Of Night Capital,0.383287602824496,1924553,156069,300532,
Tep  Fund,Fund  Tepha,0.8140441617399656,1898665,136276,105466,892.0
Johkim Capital Partners Offshore,Johkim Capital Partners Onshore,0.4626797083718077,1763014,66374,289512,
Areof Iii Invest Onshore,Areof Iii Onshore Feeder Fund,0.6578129037452056,1828296,92500,153777,
Baseline Hardware Pool Ii,Baseline Hardware Pool Ii,1.4901161193847656e-08,1840470,100472,312538,
Jdm Partners Amzn Ksfl,,1.0,1818898,87443,167212,3656.0
Unovis Ncap Fund Ii Cv,Unovis Ncap Fund Ii Cv,1.4901161193847656e-08,1834763,99009,311800,
Fi Fund I A Series Of Sajid Rahman Angel Funds,Fi Fund I A Series Of Sajid Rahman Angel Funds,1.4901161193847656e-08,1861301,111318,311027,
Point Break Capital,Point Break Capital,0.0,1885141,156171,164213,20840.0
Commerce  I,Commerce Ventures,0.7062001654451819,1843798,102584,167328,
Ebh Enterprises,Moser Enterprises,0.8748036820648122,1475357,113627,108275,
Smartco Investment Partners,Smi Investment Partners,0.7009103064414663,1837191,97782,313372,
Shearwater Offshore,Shearwater Fund,0.7029616880472177,1611136,35762,174210,
Mso Iii A Series Of Bengal Capital Ventures,Mso Iii A Series Of Bengal Capital Ventures,0.0,1823560,90138,306178,
Bsrep Iii Volans Reit Ii,Bsrep Iii Antlia Invest ,0.9348560497865095,1885043,127443,151599,2477.0
Sagard Credit Partners Ii Cayman,Sagard Credit Partners Ii Cayman,0.0,1836946,98202,304924,
Nuzee,Crouzet Invest,0.8830624619829239,1527613,24839,174900,
Rothschild Cornerstone Fund,Rothschild Cornerstone Fund,2.1073424255447017e-08,1612017,35797,161688,4402.0
New Summit Impact Fund Iii B,New Summit Impact Fund Iii B,0.0,1875298,120966,285219,
Calixto Global Offshore Fund,Calixto Global Master Fund,0.7117027926741146,1606177,35578,171687,5773.0
Immusoft,Propel Immusoft,0.5341789966474343,1596274,90738,285025,
Lowercarbon  Parallel Fund,Lowercarbon  Parallel Fund,0.0,1870783,120927,162946,
Carlyle Net Lease Income Parallel,Bridge Net Lease Income Fund,0.8750137271977662,1907435,141841,159127,
Ourcrowd Investment In Blojic,Ourcrowd Investment In Blojic,1.4901161193847656e-08,1837192,98060,169475,
Expel,Scp Expel,0.664784044715672,1684049,38547,163081,
Speed Of You,,1.0,1839084,99191,167212,3656.0
Strand Therapeutics,Gmag Therapeutics Fund,0.730565533077709,1778475,51144,313456,
Phfs Iv Em Macro Offshore Fund,Phfs Iv Em Macro Offshore Fund,0.0,1711177,72145,104559,69.0
Z Loan Investment,Capital Z Investments,0.8919962512039116,1467826,59770,159855,
Bioverge Funds Enveda Ii,Bioverge Funds Enveda I,0.16622934182780297,1950452,172077,285999,
Twenty Acre Global,Twenty Acre Global Master Fund,0.47016072179083795,1791334,63682,306381,157717.0
Crescent Opportunity Zone Investment Fund Series I,Crescent Opportunity Zone Investment Fund Series I,0.0,1764817,77094,269888,
Tiny Rolling Fund Qp A,Tiny Rolling Fund Qp A,0.0,1875340,120851,312351,
Talents Private Fund Xi,Talents Private Fund Xi,0.0,1874536,120209,262786,
Fort Washington Private Equity Small Market Investors Ii B,Fort Washington Private Equity Small Market Investors Ii B,2.5809568279517847e-08,1898208,136261,107126,732.0
Gaingels Booster Fuels,Gaingels Booster Fuels I A Series Of Republic Deal Room Master Fund,0.7852788133967351,1913559,151152,315688,
Si Gaingels Fund I A Series Of Flucas Ventures,Si Gaingels Fund I A Series Of Flucas Ventures,2.1073424255447017e-08,1885228,126889,316149,
Pangeaapp,Canaan X,0.9548089195061421,1727419,41023,161180,143906.0
Shc I Holdings, Holdings,0.7473091693083961,1884387,126527,137388,2725.0
Oleander Medical Technologies,Satter Medical Technology Partners,0.813329755904944,1591185,61892,285746,103149.0
Nassau ,Nassau  I,0.3280535370112159,1893286,132115,287937,
Pc Ventana Kent,Kec Ventures I,0.9445885850626086,1740867,93113,281171,
Beetech Global,Beach Point Global Master Fund,0.8817814408002431,1788729,59388,148885,6583.0
Greenidge Generation Holdings,Green Deer Holdings,0.8672664791335093,1844971,102991,157910,2459.0
Entrada Ventures Spv I,Entrada Ventures Spv I,0.0,1807022,79800,301096,
He Fund I A Series Of Sapien Capital,He Fund I A Series Of Sapien Capital,0.0,1874549,120214,297291,
Sug Iv A Series Of Sv Links Angels I,Sug Iv A Series Of Sv Links Angels I,1.4901161193847656e-08,1875829,122727,287947,
Turncoin,Sprints Turner,0.9717835038064395,1873837,120802,292065,
Pier Holdings, Holdings,0.5867146251104925,1776621,50159,137388,2725.0
Hedgepremier Sculptor Dp Ii Fund Ii,Sculptor Sc Ii,0.9164513246262124,1593095,35131,107913,2181.0
Ncd  Carmel In,Ncd Investments,0.8088512097994964,1836347,97864,282923,
Di Fund I A Series Of Roll Up Vehicles,Fr Xii A Parallel Vehicle And Its Related Investment Vehicles,0.9660055217119592,1907354,141830,157056,4787.0
Tcv Xi Access Offshore Scsp,Tcv Xi Access Offshore Scsp,0.0,1834284,96154,107738,259.0
Quantum Strategic Value Fund,The Quantum Strategic Value Fund,0.43741611948011894,1582941,34904,162826,
Associates , Associates,0.27765628636319245,1841943,119108,106979,5814.0
River Partners Deflation Hedge,Inflation Defender Hedge Fund,0.7525112151532404,1656098,37295,286356,45906.0
 Capital Cayman Fund, West Capital Cayman Fund,0.5408088803135868,1872846,119218,168417,
Strategic Resources,Strategic Resource Capital Fund,0.5198807419712989,1506714,32833,162333,
Nuwave Long Short Feeder Fund,Nuwave Long Short Portfolio Fund,0.6725527076284956,1480142,32318,150556,5595.0
Bachans,Schacht,0.9456729282754779,1860882,111051,155462,146245.0
Bi Fund Ii A Series Of Harvest Ridge Capital Investments,Fund Ii A Series Of Raven Ridge Capital,0.7950667358550032,1950828,171970,305494,
Fund Vii,Fund Vi,0.48680590763283205,1834142,96890,163728,
Pep Jsw Sdsu Investors,,1.0,1883847,126256,167212,3656.0
Trinitas Founders Fund,Ari Founders Fund,0.7618717106529553,1692811,94884,108254,565.0
Genesis Vault Capital,Genesis Vault Capital,0.0,1736214,96409,312201,
Goudy Park Capital International,Goudy Park Capital,0.6300079344524868,1893120,132648,170797,
Gi Alliance Holdings,We Alliance Tactical Holdings,0.7889981820260981,1757366,43624,306853,
Greylock Global Focus Fund,Greylock Global Focus Master Fund,0.3323423102505955,1697405,39039,137825,7.0
Ourcrowd Investment In Fros Ii,Ourcrowd Investment In Fros Ii,1.4901161193847656e-08,1705437,105397,169475,
Saber Breed Highway Holdings,Rb Highwater Holdings,0.7893174437932968,1906420,141733,161078,
Picsart,,0.9999999999999999,1925484,155952,167212,3656.0
Moat Biotechnology,Biotechnology Master Fund,0.6842289215416514,1944095,169772,304295,57487.0
Mytide Therapeutics,Gmag Therapeutics Fund,0.8965984282870924,1905245,140857,313456,
Buckhead Morgan Investors,Morgan Investors V,0.8559970467202827,1839833,99679,110816,13707.0
Roy G Niederhoffer Optimal Alpha Fund Onshore,Roy G Niederhoffer Smart Alpha Fund X Onshore,0.5085460962997039,1467720,66323,137788,2596.0
Urban Fund D,Urbanite Fund ,0.5486006523056773,1792321,63699,317829,
Sky Holdco,Blue Sky Investor Holdco,0.6562745671813144,1766379,44706,287602,
Sound Brands,Sonoma Brands,0.7980362299828492,1652168,92773,296285,
Ares Credit Hedge Fund De,Ares Credit Hedge Fund,0.3891862554649309,1810556,82087,130074,2887.0
Goatrodeodrnxmythspv A Series Of Goat Rodeo Capital Spv Master,Goatrodeodrnxmythspv A Series Of Goat Rodeo Capital Spv Master,0.0,1822484,90649,308085,
Airtm,Ai,0.8492601095273421,1751266,98301,162835,
Saltbox Mgmt,Saltbox Cra Fund,0.8439699568561236,1867316,119597,151736,
Tachyon Digital Asset Portfolio,Tachyon Fund,0.9005530549830406,1917270,151035,322215,
Aspex Us Fund,Aspex Master Fund,0.7769273745064935,1770201,46640,300189,74147.0
Bonnie Builders Fund,Builders Proloan Bond Fund,0.7711274415400838,1818751,87088,109440,
Iron Hills Therapeutics,Gmag Therapeutics Fund,0.8931876404711521,1837437,98377,313456,
Ancora Catalyst,Ancora Catalyst Spv I Series P,0.7090784953047601,1694346,38919,124674,3131.0
All Weather,Manna All Weather Fund,0.6624000988881622,1557313,34118,315569,
Pagosa Partners,Pagosa Partners,1.8250120749944284e-08,1539292,33607,226715,142001.0
Un Fund I A Series Of Jmwtx Investments, Fund I A Series Of Jmwtx Investments,0.2903244875884227,1829690,93194,167700,
Mvp Ls Fund Clxxxiii,Mvp Ls Fund Clxxxiii,0.0,1814640,87522,163660,
Griffin Capital Qualified Opportunity Zone Fund Ii,Griffin Capital Qualified Opportunity Zone Fund Ii,0.0,1830097,93483,300159,
Libra Services,Libra Fund,0.8128464804664037,1721779,96348,294197,11352.0
E  Fund,E  Fund,0.0,1823071,89427,291870,
Upright Education,Aim Education,0.8936689803084487,1873203,120936,156157,
Phalanx Capital Series,Phalanx Capital Series,1.4901161193847656e-08,1898301,136045,317855,
Hollis Park Alpha Fund,Hollis Park Alpha Master Fund,0.4265626310238608,1861093,111636,171461,18201.0
Cypress Tree Investment Group,Cypress Investment Funds,0.7082511123739755,1796647,68899,288566,20861.0
Eaton Vance Global Macro Absolute Return Advantage Master Fund,Eaton Vance Global Macro Absolute Return Advantage Master Fund,0.0,1742062,42500,104853,
Aquaoso Technologies Pbc,Janvest Technologies,0.954686949782644,1842586,102195,307760,
Cnh Ca Ii,Cnh Capital Partners,0.7332306190294544,1400277,30822,164451,
Altfest Alternative Value Fund I,Altfest Alternative Value Fund I,0.0,1605615,104485,110130,4929.0
Tiffs Treats Denver,,1.0,1831715,94435,167212,3656.0
Shibumicom,,0.9999999999999999,1559961,34177,167212,3656.0
Ryan Neu Fund Ii,Ryan Neu Fund Ii,1.8250120749944284e-08,1840862,100636,292571,
Irongate Global Alpha Fund,Global Alpha,0.7270838201164116,1489569,72709,297457,
Elm Capital Offshore, Capital Fund Offshore I,0.7216701697963053,1770904,99828,305398,
Ag,Ag,0.0,1840286,99965,162835,
Knott Partners,Knott Partners,0.0,1077285,118172,159979,
Fund Fg Dxl A Series Of Forge Investments,Fg Dxl A Series Of Forge Investments,0.1737466735382535,1790465,67186,284722,
Atsena Therapeutics,Gmag Therapeutics Fund,0.8313417940721651,1811468,82260,313456,
Niowave,,1.0,1666270,55946,167212,3656.0
Plough Penny Partners,Clough Finn Investment Partners,0.8461697214704409,1360450,107005,131257,2338.0
Caxton Dynamis Usa,Capital Dynamics Generation  Us,0.929938641130151,1770778,46971,130320,
Bozeman Private Hangars,Aroz I Bozeman Investor Qof,0.9670509074254695,1685322,38585,160212,
Norgard Capital Ii A,Norgard Capital Ii A,0.0,1874729,120827,311836,
Sonavation,Sony Innovation Fund ,0.9542005225848111,1370924,30441,321945,
Sarona Tf Us,Tf Fund,0.9129797419478987,1869859,118524,162008,
 Affiliates V, Affiliates V,0.0,1866736,120638,162351,
Jigad A Series Of Leonis Master Fund,Se Fund V A Series Of Opportunity Master Funds,0.9972233071533394,1858595,112579,292586,
Artisanal Ventures I,Artisanal Ventures I,1.0536712127723509e-08,1861598,112811,318935,
Agape Wellness,L Wellness Invest,0.8085042273403121,1873449,119557,304140,
Ellis Technologies,Janvest Technologies,0.7306151091167602,1925071,155391,307760,
Cbg ,Abg Capital,0.9307619522236467,1874817,120564,164661,102099.0
Lensar,,1.0,1320350,92111,167212,3656.0
Diffuse Digital Maxfi,Menai Diversified Digital Asset Master Fund,0.9649497927886447,1876428,121422,313689,
Zekavat Private Equity Group Viii,Partners Group Private Equity Ii,0.819981607596513,1462641,94125,145228,
Footpath Ventures Spv Iv,Footpath Ventures Spv Iv,1.4901161193847656e-08,1885940,127352,306142,
Heron Rock Al Access Funds A,Heron Rock Al Access Funds A,0.0,1839620,100417,309015,
Advantage Advisers Tax Exempt High Income Fund Ii,Advantage Advisers Tax Exempt High Income Fund Ii,0.0,1602207,71085,285485,25155.0
Spiers New Technologies,New Era Technologies Growth Fund,0.7737121973647436,1651665,86481,118404,4416.0
La Fund I A Series Of Roll Up Vehicles,Vehicle A,0.9701819576780084,1893472,132479,314399,
Story Renovations,Story Recover,0.8524431631259871,1884882,127587,300651,
Whiskers,Whisker Investment Holdings,0.8535293176198657,1750799,93913,165478,
Cc Q Global Equity Market Neutral Fund,Cc&L Q Global Equity Market Neutral Fund,0.6186748560847519,1705223,39590,107557,4457.0
Bedrock Digital Fund,Bedrock ,0.6969476748110295,1868249,121338,291984,
Bobbie Baby,Signal Peak Clo Bobby,0.9648526400033743,1863544,112650,307580,
Surgical Safety Scanner,Scp Safety,0.9269551049002144,1825545,91745,134320,
Ardian Americas Infrastructure Fund V,Ardian Americas Infrastructure Fund V,0.0,1836294,100373,121326,
Horizon Och Partners,Horizon Hedge Partners,0.7982275632030141,1892029,132236,122268,
J Ventures ,J Ventures Fund A,0.3968771816136196,1906068,143960,292156,
